taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,primary,2022,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,71,1,0.014085
0.3,primary,2022,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,71,4,0.056338
0.3,primary,2022,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,71,3,0.042254
0.3,primary,2022,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,71,3,0.042254
0.3,primary,2022,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,71,7,0.098592
0.3,primary,2022,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,71,1,0.014085
0.3,primary,2022,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,71,4,0.056338
0.3,primary,2022,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,71,5,0.070423
0.3,primary,2022,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,71,16,0.225352
0.3,primary,2022,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,71,5,0.070423
0.3,primary,2022,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,71,3,0.042254
0.3,primary,2022,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,71,7,0.098592
0.3,primary,2022,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,71,0,0.0
0.3,primary,2022,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,71,4,0.056338
0.3,primary,2022,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,71,1,0.014085
0.3,primary,2024,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,154,2,0.012987
0.3,primary,2024,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,154,10,0.064935
0.3,primary,2024,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,154,7,0.045455
0.3,primary,2024,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,154,9,0.058442
0.3,primary,2024,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,154,5,0.032468
0.3,primary,2024,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,154,12,0.077922
0.3,primary,2024,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,154,13,0.084416
0.3,primary,2024,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,154,4,0.025974
0.3,primary,2024,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,154,10,0.064935
0.3,primary,2024,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,154,8,0.051948
0.3,primary,2024,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,154,26,0.168831
0.3,primary,2024,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,154,14,0.090909
0.3,primary,2024,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,154,14,0.090909
0.3,primary,2024,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,154,8,0.051948
0.3,primary,2024,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,154,4,0.025974
0.3,primary,2024,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,154,8,0.051948
0.3,primary,2024,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,154,0,0.0
0.3,primary,2025,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,142,0,0.0
0.3,primary,2025,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,142,3,0.021127
0.3,primary,2025,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,142,5,0.035211
0.3,primary,2025,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,142,6,0.042254
0.3,primary,2025,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,142,4,0.028169
