taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,domain_tag,2025,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,7,142,25,0.176056
0.3,domain_tag,2025,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,8,142,15,0.105634
0.3,domain_tag,2025,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,9,142,31,0.21831
0.3,domain_tag,2025,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,10,142,17,0.119718
0.3,domain_tag,2026,objects_shapes,Objects & Shapes,Objects & Shapes,,1,177,85,0.480226
0.3,domain_tag,2026,indoor_scenes,Indoor Scenes,Indoor Scenes,,2,177,13,0.073446
0.3,domain_tag,2026,outdoor_urban_autonomous,"Outdoor, Urban & Autonomous","Outdoor, Urban & Autonomous",,3,177,17,0.096045
0.3,domain_tag,2026,humans_faces_hands,"Humans, Faces & Hands","Humans, Faces & Hands",,4,177,76,0.429379
0.3,domain_tag,2026,robotics_embodied,Robotics & Embodied,Robotics & Embodied,,5,177,26,0.146893
0.3,domain_tag,2026,medical_biological,Medical & Biological,Medical & Biological,,6,177,10,0.056497
0.3,domain_tag,2026,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,7,177,14,0.079096
0.3,domain_tag,2026,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,8,177,7,0.039548
0.3,domain_tag,2026,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,9,177,45,0.254237
0.3,domain_tag,2026,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,10,177,28,0.158192
